,Survived,Pclass,Sex,Age,Fare,Embarked,Title,GroupSize
66,1,2,1,29.0,10.5,0,2,1
67,0,3,0,19.0,8.1583,0,3,1
68,1,3,1,17.0,7.925,0,1,7
69,0,3,0,26.0,8.6625,0,3,3
70,0,2,0,32.0,10.5,0,3,1
71,0,3,1,16.0,46.9,0,1,8
72,0,2,0,21.0,73.5,0,3,1
73,0,3,0,26.0,14.4542,1,3,2
74,1,3,0,32.0,56.4958,0,3,1
75,0,3,0,25.0,7.65,0,3,1
76,0,3,0,32.368090452261306,7.8958,0,3,1
77,0,3,0,32.368090452261306,8.05,0,3,1
78,1,2,0,0.83,29.0,0,0,3
79,1,3,1,30.0,12.475,0,1,1
80,0,3,0,22.0,9.0,0,3,1
81,1,3,0,29.0,9.5,0,3,1
82,1,3,1,21.773972602739725,7.7875,2,1,1
83,0,1,0,28.0,47.1,0,3,1
84,1,2,1,17.0,10.5,0,1,1
85,1,3,1,33.0,15.85,0,2,4
86,0,3,0,16.0,34.375,0,3,5
87,0,3,0,32.368090452261306,8.05,0,3,1
88,1,1,1,23.0,263.0,0,1,6
89,0,3,0,24.0,8.05,0,3,1
90,0,3,0,29.0,8.05,0,3,1
91,0,3,0,20.0,7.8542,0,3,1
92,0,1,0,46.0,61.175,0,3,2
93,0,3,0,26.0,20.575,0,3,4
94,0,3,0,59.0,7.25,0,3,1
95,0,3,0,32.368090452261306,8.05,0,3,1
96,0,1,0,71.0,34.6542,1,3,1
97,1,1,0,23.0,63.3583,1,3,2
98,1,2,1,34.0,23.0,0,2,2
99,0,2,0,34.0,26.0,0,3,2
100,0,3,1,28.0,7.8958,0,1,1
101,0,3,0,32.368090452261306,7.8958,0,3,1
102,0,1,0,21.0,77.2875,0,3,2
103,0,3,0,33.0,8.6542,0,3,1
104,0,3,0,37.0,7.925,0,3,3
105,0,3,0,28.0,7.8958,0,3,1
106,1,3,1,21.0,7.65,0,1,1
107,1,3,0,32.368090452261306,7.775,0,3,1
108,0,3,0,38.0,7.8958,0,3,1
109,1,3,1,21.773972602739725,24.15,2,1,2
110,0,1,0,47.0,52.0,0,3,1
111,0,3,1,14.5,14.4542,1,1,2
112,0,3,0,22.0,8.05,0,3,1
113,0,3,1,20.0,9.825,0,1,2
114,0,3,1,17.0,14.4583,1,1,1
115,0,3,0,21.0,7.925,0,3,1
116,0,3,0,70.5,7.75,2,3,1
117,0,2,0,29.0,21.0,0,3,2
118,0,1,0,24.0,247.5208,1,3,2
119,0,3,1,2.0,31.275,0,1,7
120,0,2,0,21.0,73.5,0,3,3
121,0,3,0,32.368090452261306,8.05,0,3,1
122,0,2,0,32.5,30.0708,1,3,2
123,1,2,1,32.5,13.0,0,1,1
124,0,1,0,54.0,77.2875,0,3,2
125,1,3,0,12.0,11.2417,1,0,2
126,0,3,0,32.368090452261306,7.75,2,3,1
127,1,3,0,24.0,7.1417,0,3,1
128,1,3,1,21.773972602739725,22.3583,1,1,3
129,0,3,0,45.0,6.975,0,3,1
130,0,3,0,33.0,7.8958,1,3,1
131,0,3,0,20.0,7.05,0,3,1
132,0,3,1,47.0,14.5,0,2,2
133,1,2,1,29.0,26.0,0,2,2
134,0,2,0,25.0,13.0,0,3,1
135,0,2,0,23.0,15.0458,1,3,1
136,1,1,1,19.0,26.2833,0,1,3
137,0,1,0,37.0,53.1,0,3,2
138,0,3,0,16.0,9.2167,0,3,1
139,0,1,0,24.0,79.2,1,3,1
140,0,3,1,35.898148148148145,15.2458,1,2,3
141,1,3,1,22.0,7.75,0,1,1
142,1,3,1,24.0,15.85,0,2,2
143,0,3,0,19.0,6.75,2,3,1
144,0,2,0,18.0,11.5,0,3,1
145,0,2,0,19.0,36.75,0,3,3
146,1,3,0,27.0,7.7958,0,3,1
147,0,3,1,9.0,34.375,0,1,5
148,0,2,0,36.5,26.0,0,3,3
149,0,2,0,42.0,13.0,0,4,1
150,0,2,0,51.0,12.525,0,4,1
151,1,1,1,22.0,66.6,0,2,2
152,0,3,0,55.5,8.05,0,3,1
153,0,3,0,40.5,14.5,0,3,3
154,0,3,0,32.368090452261306,7.3125,0,3,1
155,0,1,0,51.0,61.3792,1,3,2
156,1,3,1,16.0,7.7333,2,1,1
157,0,3,0,30.0,8.05,0,3,1
158,0,3,0,32.368090452261306,8.6625,0,3,1
159,0,3,0,4.574166666666667,69.55,0,0,11
160,0,3,0,44.0,16.1,0,3,2
161,1,2,1,40.0,15.75,0,2,1
162,0,3,0,26.0,7.775,0,3,1
163,0,3,0,17.0,8.6625,0,3,1
164,0,3,0,1.0,39.6875,0,0,6
165,1,3,0,9.0,20.525,0,0,3
166,1,1,1,35.898148148148145,55.0,0,2,2
167,0,3,1,45.0,27.9,0,2,6
168,0,1,0,32.368090452261306,25.925,0,3,1
169,0,3,0,28.0,56.4958,0,3,1
170,0,1,0,61.0,33.5,0,3,1
171,0,3,0,4.0,29.125,2,0,6
172,1,3,1,1.0,11.1333,0,1,3
173,0,3,0,21.0,7.925,0,3,1
174,0,1,0,56.0,30.6958,1,3,1
175,0,3,0,18.0,7.8542,0,3,3
176,0,3,0,4.574166666666667,25.4667,0,0,5
177,0,1,1,50.0,28.7125,1,1,1
178,0,2,0,30.0,13.0,0,3,1
179,0,3,0,36.0,0.0,0,3,1
180,0,3,1,21.773972602739725,69.55,0,1,11
181,0,2,0,32.368090452261306,15.05,1,3,1
182,0,3,0,9.0,31.3875,0,0,7
183,1,2,0,1.0,39.0,0,0,4
184,1,3,1,4.0,22.025,0,1,3
185,0,1,0,32.368090452261306,50.0,0,3,1
186,1,3,1,35.898148148148145,15.5,2,2,2
187,1,1,0,45.0,26.55,0,3,1
188,0,3,0,40.0,15.5,2,3,3
189,0,3,0,36.0,7.8958,0,3,1
190,1,2,1,32.0,13.0,0,2,1
191,0,2,0,19.0,13.0,0,3,1
192,1,3,1,19.0,7.8542,0,1,2
193,1,2,0,3.0,26.0,0,0,3
194,1,1,1,44.0,27.7208,1,2,1
195,1,1,1,58.0,146.5208,1,1,1
196,0,3,0,32.368090452261306,7.75,2,3,1
197,0,3,0,42.0,8.4042,0,3,2
198,1,3,1,21.773972602739725,7.75,2,1,1
199,0,2,1,24.0,13.0,0,1,1
200,0,3,0,28.0,9.5,0,3,1
201,0,3,0,32.368090452261306,69.55,0,3,11
202,0,3,0,34.0,6.4958,0,3,1
203,0,3,0,45.5,7.225,1,3,1
204,1,3,0,18.0,8.05,0,3,1
205,0,3,1,2.0,10.4625,0,1,2
206,0,3,0,32.0,15.85,0,3,2
207,1,3,0,26.0,18.7875,1,3,1
208,1,3,1,16.0,7.75,2,1,1
209,1,1,0,40.0,31.0,1,3,1
210,0,3,0,24.0,7.05,0,3,1
211,1,2,1,35.0,21.0,0,1,1
212,0,3,0,22.0,7.25,0,3,1
213,0,2,0,30.0,13.0,0,3,1
214,0,3,0,32.368090452261306,7.75,2,3,2
215,1,1,1,31.0,113.275,1,1,2
216,1,3,1,27.0,7.925,0,1,1
217,0,2,0,42.0,27.0,0,3,2
218,1,1,1,32.0,76.2917,1,1,1
219,0,2,0,30.0,10.5,0,3,1
220,1,3,0,16.0,8.05,0,3,1
221,0,2,0,27.0,13.0,0,3,1
222,0,3,0,51.0,8.05,0,3,1
223,0,3,0,32.368090452261306,7.8958,0,3,1
224,1,1,0,38.0,90.0,0,3,2
225,0,3,0,22.0,9.35,0,3,1
226,1,2,0,19.0,10.5,0,3,1
227,0,3,0,20.5,7.25,0,3,1
228,0,2,0,18.0,13.0,0,3,1
229,0,3,1,21.773972602739725,25.4667,0,1,5
230,1,1,1,35.0,83.475,0,2,2
231,0,3,0,29.0,7.775,0,3,1
232,0,2,0,59.0,13.5,0,3,1
233,1,3,1,5.0,31.3875,0,1,7
234,0,2,0,24.0,10.5,0,3,1
235,0,3,1,21.773972602739725,7.55,0,1,1
236,0,2,0,44.0,26.0,0,3,2
237,1,2,1,8.0,26.25,0,1,3
238,0,2,0,19.0,10.5,0,3,1
239,0,2,0,33.0,12.275,0,3,1
240,0,3,1,21.773972602739725,14.4542,1,1,2
241,1,3,1,21.773972602739725,15.5,2,1,2
242,0,2,0,29.0,10.5,0,3,1
243,0,3,0,22.0,7.125,0,3,1
244,0,3,0,30.0,7.225,1,3,1
245,0,1,0,44.0,90.0,2,4,3
246,0,3,1,25.0,7.775,0,1,1
247,1,2,1,24.0,14.5,0,2,3
248,1,1,0,37.0,52.5542,0,3,3
249,0,2,0,54.0,26.0,0,4,2
250,0,3,0,32.368090452261306,7.25,0,3,1
251,0,3,1,29.0,10.4625,0,2,3
252,0,1,0,62.0,26.55,0,3,1
253,0,3,0,30.0,16.1,0,3,2
254,0,3,1,41.0,20.2125,0,2,3
255,1,3,1,29.0,15.2458,1,2,3
256,1,1,1,35.898148148148145,79.2,1,2,1
257,1,1,1,30.0,86.5,0,1,1
258,1,1,1,35.0,512.3292,1,1,1
259,1,2,1,50.0,26.0,0,2,2
260,0,3,0,32.368090452261306,7.75,2,3,1
261,1,3,0,3.0,31.3875,0,0,7
262,0,1,0,52.0,79.65,0,3,3
263,0,1,0,40.0,0.0,0,3,1
264,0,3,1,21.773972602739725,7.75,2,1,1
265,0,2,0,36.0,10.5,0,3,1
266,0,3,0,16.0,39.6875,0,3,6
267,1,3,0,25.0,7.775,0,3,2
268,1,1,1,58.0,153.4625,0,2,2
269,1,1,1,35.0,135.6333,0,1,1
270,0,1,0,32.368090452261306,31.0,0,3,1
271,1,3,0,25.0,0.0,0,3,1
272,1,2,1,41.0,19.5,0,2,2
273,0,1,0,37.0,29.7,1,3,2
274,1,3,1,21.773972602739725,7.75,2,1,1
275,1,1,1,63.0,77.9583,0,1,2
276,0,3,1,45.0,7.75,0,1,1
277,0,2,0,32.368090452261306,0.0,0,3,1
278,0,3,0,7.0,29.125,2,0,6
279,1,3,1,35.0,20.25,0,2,3
280,0,3,0,65.0,7.75,2,3,1
281,0,3,0,28.0,7.8542,0,3,1
282,0,3,0,16.0,9.5,0,3,1
283,1,3,0,19.0,8.05,0,3,1
284,0,1,0,32.368090452261306,26.0,0,3,1
285,0,3,0,33.0,8.6625,1,3,1
286,1,3,0,30.0,9.5,0,3,1
287,0,3,0,22.0,7.8958,0,3,1
288,1,2,0,42.0,13.0,0,3,1
289,1,3,1,22.0,7.75,2,1,1
290,1,1,1,26.0,78.85,0,1,1
291,1,1,1,19.0,91.0792,1,2,2
292,0,2,0,36.0,12.875,1,3,1
293,0,3,1,24.0,8.85,0,1,1
294,0,3,0,24.0,7.8958,0,3,1
295,0,1,0,32.368090452261306,27.7208,1,3,1
296,0,3,0,23.5,7.2292,1,3,1
297,0,1,1,2.0,151.55,0,1,4
298,1,1,0,32.368090452261306,30.5,0,3,1
299,1,1,1,50.0,247.5208,1,2,2
300,1,3,1,21.773972602739725,7.75,2,1,1
301,1,3,0,32.368090452261306,23.25,2,3,3
302,0,3,0,19.0,0.0,0,3,1
303,1,2,1,21.773972602739725,12.35,2,1,1
304,0,3,0,32.368090452261306,8.05,0,3,1
305,1,1,0,0.92,151.55,0,0,4
306,1,1,1,21.773972602739725,110.8833,1,1,1
307,1,1,1,17.0,108.9,1,2,2
308,0,2,0,30.0,24.0,1,3,2
309,1,1,1,30.0,56.9292,1,1,1
310,1,1,1,24.0,83.1583,1,1,1
311,1,1,1,18.0,262.375,1,1,5
312,0,2,1,26.0,26.0,0,2,3
313,0,3,0,28.0,7.8958,0,3,1
314,0,2,0,43.0,26.25,0,3,3
315,1,3,1,26.0,7.8542,0,1,1
316,1,2,1,24.0,26.0,0,2,2
317,0,2,0,54.0,14.0,0,4,1
318,1,1,1,31.0,164.8667,0,1,3
319,1,1,1,40.0,134.5,1,2,3
320,0,3,0,22.0,7.25,0,3,1
321,0,3,0,27.0,7.8958,0,3,1
322,1,2,1,30.0,12.35,2,1,1
323,1,2,1,22.0,29.0,0,2,3
324,0,3,0,32.368090452261306,69.55,0,3,11
325,1,1,1,36.0,135.6333,1,1,1
326,0,3,0,61.0,6.2375,0,3,1
327,1,2,1,36.0,13.0,0,2,1
328,1,3,1,31.0,20.525,0,2,3
329,1,1,1,16.0,57.9792,1,1,2
330,1,3,1,21.773972602739725,23.25,2,1,3
331,0,1,0,45.5,28.5,0,3,1
332,0,1,0,38.0,153.4625,0,3,2
333,0,3,0,16.0,18.0,0,3,3
334,1,1,1,35.898148148148145,133.65,0,2,2
335,0,3,0,32.368090452261306,7.8958,0,3,1
336,0,1,0,29.0,66.6,0,3,2
337,1,1,1,41.0,134.5,1,1,1
338,1,3,0,45.0,8.05,0,3,1
339,0,1,0,45.0,35.5,0,3,1
340,1,2,0,2.0,26.0,0,0,3
341,1,1,1,24.0,263.0,0,1,6
342,0,2,0,28.0,13.0,0,3,1
343,0,2,0,25.0,13.0,0,3,1
344,0,2,0,36.0,13.0,0,3,1
345,1,2,1,24.0,13.0,0,1,1
346,1,2,1,40.0,13.0,0,1,1
347,1,3,1,35.898148148148145,16.1,0,2,2
348,1,3,0,3.0,15.9,0,0,3
349,0,3,0,42.0,8.6625,0,3,1
350,0,3,0,23.0,9.225,0,3,1
351,0,1,0,32.368090452261306,35.0,0,3,1
352,0,3,0,15.0,7.2292,1,3,3
353,0,3,0,25.0,17.8,0,3,2
354,0,3,0,32.368090452261306,7.225,1,3,1
355,0,3,0,28.0,9.5,0,3,1
356,1,1,1,22.0,55.0,0,1,2
357,0,2,1,38.0,13.0,0,1,1
358,1,3,1,21.773972602739725,7.8792,2,1,1
359,1,3,1,21.773972602739725,7.8792,2,1,1
360,0,3,0,40.0,27.9,0,3,6
361,0,2,0,29.0,27.7208,1,3,2
362,0,3,1,45.0,14.4542,1,2,2
363,0,3,0,35.0,7.05,0,3,1
364,0,3,0,32.368090452261306,15.5,2,3,2
365,0,3,0,30.0,7.25,0,3,1
366,1,1,1,60.0,75.25,1,2,2
367,1,3,1,35.898148148148145,7.2292,1,2,1
368,1,3,1,21.773972602739725,7.75,2,1,1
369,1,1,1,24.0,69.3,1,2,1
370,1,1,0,25.0,55.4417,1,3,2
371,0,3,0,18.0,6.4958,0,3,2
372,0,3,0,19.0,8.05,0,3,1
373,0,1,0,22.0,135.6333,1,3,1
374,0,3,1,3.0,21.075,0,1,5
375,1,1,1,35.898148148148145,82.1708,1,2,2
376,1,3,1,22.0,7.25,0,1,1
377,0,1,0,27.0,211.5,1,3,3
378,0,3,0,20.0,4.0125,1,3,1
379,0,3,0,19.0,7.775,0,3,1
380,1,1,1,42.0,227.525,1,1,1
381,1,3,1,1.0,15.7417,1,1,3
382,0,3,0,32.0,7.925,0,3,1
383,1,1,1,35.0,52.0,0,2,2
384,0,3,0,32.368090452261306,7.8958,0,3,1
385,0,2,0,18.0,73.5,0,3,1
386,0,3,0,1.0,46.9,0,0,8
387,1,2,1,36.0,13.0,0,1,1
388,0,3,0,32.368090452261306,7.7292,2,3,1
389,1,2,1,17.0,12.0,1,1,1
390,1,1,0,36.0,120.0,0,3,4
391,1,3,0,21.0,7.7958,0,3,1
392,0,3,0,28.0,7.925,0,3,3
393,1,1,1,23.0,113.275,1,1,2
394,1,3,1,24.0,16.7,0,2,3
395,0,3,0,22.0,7.7958,0,3,1
396,0,3,1,31.0,7.8542,0,1,1
397,0,2,0,46.0,26.0,0,3,1
398,0,2,0,23.0,10.5,0,4,1
399,1,2,1,28.0,12.65,0,2,1
400,1,3,0,39.0,7.925,0,3,1
401,0,3,0,26.0,8.05,0,3,1
402,0,3,1,21.0,9.825,0,1,2
403,0,3,0,28.0,15.85,0,3,2
404,0,3,1,20.0,8.6625,0,1,1
405,0,2,0,34.0,21.0,0,3,2
406,0,3,0,51.0,7.75,0,3,1
407,1,2,0,3.0,18.75,0,0,3
408,0,3,0,21.0,7.775,0,3,1
409,0,3,1,21.773972602739725,25.4667,0,1,5
410,0,3,0,32.368090452261306,7.8958,0,3,1
411,0,3,0,32.368090452261306,6.8583,2,3,1
412,1,1,1,33.0,90.0,2,1,2
413,0,2,0,32.368090452261306,0.0,0,3,1
414,1,3,0,44.0,7.925,0,3,1
415,0,3,1,35.898148148148145,8.05,0,2,1
416,1,2,1,34.0,32.5,0,2,3
417,1,2,1,18.0,13.0,0,1,3
418,0,2,0,30.0,13.0,0,3,1
419,0,3,1,10.0,24.15,0,1,3
420,0,3,0,32.368090452261306,7.8958,1,3,1
421,0,3,0,21.0,7.7333,2,3,1
422,0,3,0,29.0,7.875,0,3,1
423,0,3,1,28.0,14.4,0,2,3
424,0,3,0,18.0,20.2125,0,3,3
425,0,3,0,32.368090452261306,7.25,0,3,1
426,1,2,1,28.0,26.0,0,2,2
427,1,2,1,19.0,26.0,0,1,1
428,0,3,0,32.368090452261306,7.75,2,3,1
429,1,3,0,32.0,8.05,0,3,1
430,1,1,0,28.0,26.55,0,3,1
431,1,3,1,35.898148148148145,16.1,0,2,2
432,1,2,1,42.0,26.0,0,2,2
433,0,3,0,17.0,7.125,0,3,1
434,0,1,0,50.0,55.9,0,3,2
435,1,1,1,14.0,120.0,0,1,4
436,0,3,1,21.0,34.375,0,1,5
437,1,2,1,24.0,18.75,0,2,6
438,0,1,0,64.0,263.0,0,3,6
439,0,2,0,31.0,10.5,0,3,1
440,1,2,1,45.0,26.25,0,2,3
441,0,3,0,20.0,9.5,0,3,1
442,0,3,0,25.0,7.775,0,3,2
443,1,2,1,28.0,13.0,0,1,1
444,1,3,0,32.368090452261306,8.1125,0,3,1
445,1,1,0,4.0,81.8583,0,0,3
446,1,2,1,13.0,19.5,0,1,2
447,1,1,0,34.0,26.55,0,3,1
448,1,3,1,5.0,19.2583,1,1,4
449,1,1,0,52.0,30.5,0,4,1
450,0,2,0,36.0,27.75,0,3,4
451,0,3,0,32.368090452261306,19.9667,0,3,2
452,0,1,0,30.0,27.75,1,3,1
453,1,1,0,49.0,89.1042,1,3,2
454,0,3,0,32.368090452261306,8.05,0,3,1
455,1,3,0,29.0,7.8958,1,3,1
456,0,1,0,65.0,26.55,0,3,1
457,1,1,1,35.898148148148145,51.8625,0,2,2
458,1,2,1,50.0,10.5,0,1,1
459,0,3,0,32.368090452261306,7.75,2,3,1
460,1,1,0,48.0,26.55,0,3,1
461,0,3,0,34.0,8.05,0,3,1
462,0,1,0,47.0,38.5,0,3,1
463,0,2,0,48.0,13.0,0,3,1
464,0,3,0,32.368090452261306,8.05,0,3,1
465,0,3,0,38.0,7.05,0,3,1
466,0,2,0,32.368090452261306,0.0,0,3,1
467,0,1,0,56.0,26.55,0,3,1
468,0,3,0,32.368090452261306,7.725,2,3,1
469,1,3,1,0.75,19.2583,1,1,4
470,0,3,0,32.368090452261306,7.25,0,3,1
471,0,3,0,38.0,8.6625,0,3,1
472,1,2,1,33.0,27.75,0,2,4
473,1,2,1,23.0,13.7917,1,2,1
474,0,3,1,22.0,9.8375,0,1,1
475,0,1,0,32.368090452261306,52.0,0,3,1
476,0,2,0,34.0,21.0,0,3,2
477,0,3,0,29.0,7.0458,0,3,2
478,0,3,0,22.0,7.5208,0,3,1
479,1,3,1,2.0,12.2875,0,1,2
480,0,3,0,9.0,46.9,0,0,8
481,0,2,0,32.368090452261306,0.0,0,3,1
482,0,3,0,50.0,8.05,0,3,1
483,1,3,1,63.0,9.5875,0,2,1
484,1,1,0,25.0,91.0792,1,3,2
485,0,3,1,21.773972602739725,25.4667,0,1,5
486,1,1,1,35.0,90.0,0,2,2
487,0,1,0,58.0,29.7,1,3,1
488,0,3,0,30.0,8.05,0,3,1
489,1,3,0,9.0,15.9,0,0,3
490,0,3,0,32.368090452261306,19.9667,0,3,2
491,0,3,0,21.0,7.25,0,3,1
492,0,1,0,55.0,30.5,0,3,1
493,0,1,0,71.0,49.5042,1,3,1
494,0,3,0,21.0,8.05,0,3,1
495,0,3,0,32.368090452261306,14.4583,1,3,1
496,1,1,1,54.0,78.2667,1,1,2
497,0,3,0,32.368090452261306,15.1,0,3,1
498,0,1,1,25.0,151.55,0,2,4
499,0,3,0,24.0,7.7958,0,3,1
500,0,3,0,17.0,8.6625,0,3,1
501,0,3,1,21.0,7.75,2,1,1
502,0,3,1,21.773972602739725,7.6292,2,1,1
503,0,3,1,37.0,9.5875,0,1,1
504,1,1,1,16.0,86.5,0,1,1
505,0,1,0,18.0,108.9,1,3,2
506,1,2,1,33.0,26.0,0,2,3
507,1,1,0,32.368090452261306,26.55,0,3,1
508,0,3,0,28.0,22.525,0,3,1
509,1,3,0,26.0,56.4958,0,3,1
510,1,3,0,29.0,7.75,2,3,1
511,0,3,0,32.368090452261306,8.05,0,3,1
512,1,1,0,36.0,26.2875,0,3,1
513,1,1,1,54.0,59.4,1,2,2
514,0,3,0,24.0,7.4958,0,3,1
515,0,1,0,47.0,34.0208,0,3,1
516,1,2,1,34.0,10.5,0,2,1
517,0,3,0,32.368090452261306,24.15,2,3,1
518,1,2,1,36.0,26.0,0,2,2
519,0,3,0,32.0,7.8958,0,3,1
520,1,1,1,30.0,93.5,0,1,1
521,0,3,0,22.0,7.8958,0,3,1
522,0,3,0,32.368090452261306,7.225,1,3,1
523,1,1,1,44.0,57.9792,1,2,2
524,0,3,0,32.368090452261306,7.2292,1,3,1
525,0,3,0,40.5,7.75,2,3,1
526,1,2,1,50.0,10.5,0,1,1
527,0,1,0,32.368090452261306,221.7792,0,3,1
528,0,3,0,39.0,7.925,0,3,1
529,0,2,0,23.0,11.5,0,3,4
530,1,2,1,2.0,26.0,0,1,3
531,0,3,0,32.368090452261306,7.2292,1,3,1
532,0,3,0,17.0,7.2292,1,3,3
533,1,3,1,35.898148148148145,22.3583,1,2,3
534,0,3,1,30.0,8.6625,0,1,1
535,1,2,1,7.0,26.25,0,1,3
536,0,1,0,45.0,26.55,0,4,1
537,1,1,1,30.0,106.425,1,1,1
538,0,3,0,32.368090452261306,14.5,0,3,1
539,1,1,1,22.0,49.5,1,1,3
540,1,1,1,36.0,71.0,0,1,3
541,0,3,1,9.0,31.275,0,1,7
542,0,3,1,11.0,31.275,0,1,7
543,1,2,0,32.0,26.0,0,3,2
544,0,1,0,50.0,106.425,1,3,2
545,0,1,0,64.0,26.0,0,3,1
546,1,2,1,19.0,26.0,0,2,2
547,1,2,0,32.368090452261306,13.8625,1,3,1
548,0,3,0,33.0,20.525,0,3,3
549,1,2,0,8.0,36.75,0,0,3
550,1,1,0,17.0,110.8833,1,3,3
551,0,2,0,27.0,26.0,0,3,1
552,0,3,0,32.368090452261306,7.8292,2,3,1
553,1,3,0,22.0,7.225,1,3,1
554,1,3,1,22.0,7.775,0,1,1
555,0,1,0,62.0,26.55,0,3,1
556,1,1,1,48.0,39.6,1,4,2
557,0,1,0,32.368090452261306,227.525,1,3,1
558,1,1,1,39.0,79.65,0,2,3
559,1,3,1,36.0,17.4,0,2,2
560,0,3,0,32.368090452261306,7.75,2,3,1
561,0,3,0,40.0,7.8958,0,3,1
562,0,2,0,28.0,13.5,0,3,1
563,0,3,0,32.368090452261306,8.05,0,3,1
564,0,3,1,21.773972602739725,8.05,0,1,1
565,0,3,0,24.0,24.15,0,3,3
566,0,3,0,19.0,7.8958,0,3,1
567,0,3,1,29.0,21.075,0,2,5
568,0,3,0,32.368090452261306,7.2292,1,3,1
569,1,3,0,32.0,7.8542,0,3,1
570,1,2,0,62.0,10.5,0,3,1
571,1,1,1,53.0,51.4792,0,2,3
572,1,1,0,36.0,26.3875,0,3,1
573,1,3,1,21.773972602739725,7.75,2,1,1
574,0,3,0,16.0,8.05,0,3,1
575,0,3,0,19.0,14.5,0,3,1
576,1,2,1,34.0,13.0,0,1,1
577,1,1,1,39.0,55.9,0,2,2
578,0,3,1,35.898148148148145,14.4583,1,2,2
579,1,3,0,32.0,7.925,0,3,1
580,1,2,1,25.0,30.0,0,1,3
581,1,1,1,39.0,110.8833,1,2,3
582,0,2,0,54.0,26.0,0,3,1
583,0,1,0,36.0,40.125,1,3,1
584,0,3,0,32.368090452261306,8.7125,1,3,1
585,1,1,1,18.0,79.65,0,1,3
586,0,2,0,47.0,15.0,0,3,1
587,1,1,0,60.0,79.2,1,3,3
588,0,3,0,22.0,8.05,0,3,1
589,0,3,0,32.368090452261306,8.05,0,3,1
590,0,3,0,35.0,7.125,0,3,1
591,1,1,1,52.0,78.2667,1,2,2
592,0,3,0,47.0,7.25,0,3,1
593,0,3,1,21.773972602739725,7.75,2,1,3
594,0,2,0,37.0,26.0,0,3,2
595,0,3,0,36.0,24.15,0,3,3
596,1,2,1,21.773972602739725,33.0,0,1,1
597,0,3,0,49.0,0.0,0,3,1
598,0,3,0,32.368090452261306,7.225,1,3,1
599,1,1,0,49.0,56.9292,1,4,2
600,1,2,1,24.0,27.0,0,2,4
